"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1086","test_hotel_list","test","Sun Sep 14 17:32:01 UTC 2025","passed","Sun Sep 14 17:32:02 UTC 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","1495","Hootel Login","test","Sun Sep 14 17:31:58 UTC 2025","passed","Sun Sep 14 17:31:59 UTC 2025","TestHootel","test_hootel","",""
